rainfall_24h_mm,rainfall_intensity_mmh,soil_moisture_pct,slope_degrees,borehole_displacement_mm,historical_events_count,population_density_sqkm,catchment_area_sqkm,road_closure_hours,severance_probability_pct,isolated_population,infrastructure_damage_index,time_to_failure_hours,debris_volume_m3
160.6,5.7,41.7,30.7,2.16,16,2058,3.0,48.2,65.3,532,71.0,9.6,11279
133.0,30.2,59.6,59.6,3.68,17,669,9.6,72.0,100.0,1097,100.0,1.0,26802
123.7,12.5,76.6,34.0,2.72,2,442,14.5,53.6,69.3,854,76.9,6.9,14950
163.7,15.9,94.5,61.0,25.78,8,925,29.1,72.0,100.0,4753,100.0,1.0,28000
141.8,28.7,43.5,56.0,0.91,5,1691,29.9,72.0,90.9,8299,100.0,3.7,24895
107.5,31.9,82.6,49.6,3.01,12,279,5.4,72.0,90.2,286,100.0,3.4,22368
95.2,27.7,82.1,40.0,2.26,13,1828,8.0,60.4,79.9,2212,81.4,5.6,16340
82.6,17.8,82.2,28.2,1.51,3,81,30.3,36.0,59.2,102,59.2,10.4,13244
135.2,7.0,37.7,44.2,22.07,13,110,11.1,72.0,94.4,367,100.0,4.0,23708
61.5,17.8,40.9,34.0,2.24,14,1190,14.9,24.3,49.8,1490,50.4,13.2,8792
67.0,7.2,51.5,60.0,2.52,11,1863,12.4,53.0,71.2,3150,67.7,8.4,13697
68.2,15.3,93.7,60.7,2.81,16,1052,12.1,68.4,82.1,1827,94.0,4.2,19742
63.7,32.9,33.7,51.1,6.27,10,343,26.7,59.7,81.5,1343,83.8,5.8,18718
178.8,33.8,36.7,61.6,11.52,17,1773,18.5,72.0,100.0,6062,100.0,1.0,28000
190.3,28.6,54.7,47.9,3.94,13,1418,31.0,72.0,100.0,7815,100.0,1.0,28000
148.7,20.4,57.0,52.9,14.26,12,160,16.7,72.0,100.0,315,100.0,1.0,28000
98.8,33.6,65.4,35.9,2.92,15,1366,4.5,61.2,72.0,605,80.5,5.5,16025
224.9,31.9,65.0,44.1,1.76,15,1009,26.0,72.0,100.0,4785,100.0,1.0,28000
121.7,19.8,32.3,30.6,2.84,3,476,26.1,46.0,63.1,1289,62.4,10.5,13506
232.7,15.2,56.9,37.7,1.47,15,766,26.5,72.0,100.0,3699,100.0,1.0,27367
90.7,10.1,76.4,42.4,4.29,13,1792,8.0,53.4,70.6,1879,78.1,8.7,13320
55.2,15.3,60.9,24.1,0.14,5,859,26.5,21.3,47.7,1952,46.5,14.3,8551
130.1,6.2,34.0,52.4,1.17,18,1242,7.5,54.6,69.5,1271,74.6,7.2,13288
191.6,35.1,55.5,54.9,2.9,18,955,31.7,72.0,100.0,5549,100.0,1.0,28000
99.9,34.9,60.1,61.8,7.02,12,1813,7.4,72.0,99.7,2290,100.0,1.0,26591
140.8,15.6,77.1,33.6,3.45,4,615,30.9,63.2,81.8,2995,86.7,5.4,19555
78.7,30.7,85.0,52.5,13.96,9,1756,13.6,72.0,99.0,4363,100.0,1.5,27713
213.6,20.7,63.2,45.3,23.8,3,1937,21.2,72.0,100.0,7509,100.0,1.0,28000
131.4,15.6,50.1,43.9,3.42,11,258,3.9,61.2,78.3,0,85.6,5.8,15411
238.2,19.7,95.7,58.4,8.8,9,442,21.8,72.0,100.0,1895,100.0,1.0,28000
175.4,12.1,74.0,50.1,1.96,5,986,17.8,72.0,94.8,2932,97.3,3.7,24485
127.7,11.9,37.7,54.2,1.53,10,621,13.8,60.8,79.8,1287,82.3,5.7,16444
156.2,9.4,54.5,30.5,25.8,15,949,5.1,72.0,97.7,886,100.0,2.5,25679
55.1,13.8,37.4,44.1,17.21,1,1295,8.6,54.6,75.1,1462,79.6,8.4,15226
76.5,18.0,47.4,47.5,3.57,1,1539,30.1,52.6,62.5,5238,69.6,9.6,15538
230.2,33.0,33.1,24.7,0.26,2,1690,17.4,72.0,97.9,5148,100.0,1.2,24656
157.5,13.8,51.8,42.5,3.25,18,1398,14.0,66.0,83.5,3014,82.4,6.3,18693
207.0,5.3,37.5,39.4,17.24,10,779,6.0,72.0,100.0,706,100.0,1.0,27341
180.0,9.5,40.1,53.2,3.56,1,1432,26.3,71.2,89.1,6125,98.0,2.2,23814
102.4,22.5,68.3,36.7,0.5,4,995,24.4,54.1,62.7,2544,68.2,8.2,15539
63.5,40.5,34.3,54.1,18.53,8,1378,9.8,72.0,100.0,2561,100.0,1.0,26757
36.3,11.7,65.0,23.8,24.62,10,1332,12.2,51.5,72.1,1989,76.3,7.4,14747
124.7,26.1,63.6,52.9,3.61,8,676,2.7,72.0,91.7,239,100.0,4.4,21763
25.3,28.6,86.3,51.1,2.17,8,1779,17.0,59.9,69.0,3840,74.6,8.7,16486
136.7,30.3,55.8,61.0,0.47,5,1675,4.7,72.0,100.0,1602,100.0,1.0,24320
197.2,30.3,79.1,34.7,0.39,7,617,25.5,72.0,100.0,2697,100.0,1.0,27985
232.4,11.1,51.7,32.6,0.71,10,225,8.8,71.9,96.4,428,100.0,3.1,21480
89.3,35.0,43.1,60.1,15.79,18,1083,5.3,72.0,100.0,881,100.0,1.0,28000
67.6,18.6,75.9,59.5,2.39,3,149,31.9,63.7,77.0,782,81.3,7.0,20429
51.3,39.7,35.2,59.0,20.42,16,180,13.8,72.0,100.0,610,100.0,1.0,28000
157.0,27.1,73.4,42.0,13.67,3,1205,13.8,72.0,100.0,3112,100.0,1.0,28000
29.2,17.9,77.7,41.2,9.96,17,1377,14.0,50.9,64.9,2139,76.7,9.5,13603
238.2,23.6,81.1,62.0,3.25,8,1151,18.2,72.0,100.0,3876,100.0,1.0,28000
108.5,39.5,95.5,28.9,1.34,12,175,23.3,67.0,82.8,464,94.1,6.1,20901
233.6,24.1,43.2,23.5,2.45,1,2017,2.5,72.0,100.0,759,100.0,3.8,22961
94.6,3.9,69.5,58.7,23.78,12,357,13.5,72.0,100.0,707,100.0,1.0,27643
229.0,33.9,93.5,48.0,3.88,12,974,22.1,72.0,100.0,3968,100.0,1.0,28000
175.9,25.3,86.4,52.8,5.51,11,964,21.4,72.0,100.0,3645,100.0,1.0,28000
161.8,40.6,84.6,48.8,9.73,1,1146,8.7,72.0,100.0,1909,100.0,1.0,28000
115.2,9.5,58.5,57.3,1.56,16,983,7.3,63.0,73.5,867,81.4,7.8,16163
61.6,17.6,78.8,43.9,3.06,16,186,15.2,51.5,69.3,326,66.9,8.4,14070
113.0,24.6,91.2,43.6,8.68,4,263,14.1,72.0,96.0,462,96.1,1.4,24112
159.4,21.7,38.2,30.3,27.37,16,533,11.6,72.0,100.0,1177,100.0,1.0,28000
215.4,17.4,60.5,32.5,6.72,9,312,7.0,72.0,100.0,460,100.0,1.1,25811
73.9,5.4,56.8,42.9,19.39,16,1025,16.5,63.5,73.8,2332,83.5,7.6,17931
170.7,27.2,39.7,52.3,3.94,7,849,6.2,72.0,99.9,920,100.0,1.8,25492
80.4,38.5,90.5,24.7,1.65,11,1191,17.8,53.3,78.5,3075,78.7,8.4,15687
57.2,25.1,69.3,60.6,0.51,4,1231,28.1,63.9,84.0,5135,85.6,6.5,19274
62.0,18.7,71.6,49.2,11.38,11,1033,4.0,63.1,82.1,559,85.7,6.5,17361
206.2,36.5,75.8,60.9,1.27,15,1374,10.4,72.0,100.0,2447,100.0,1.0,28000
188.3,36.8,84.5,42.6,1.31,17,1712,6.5,72.0,100.0,1814,100.0,1.0,28000
78.6,20.8,90.8,50.2,3.31,17,1685,21.2,61.2,77.4,4925,87.6,4.7,19666
151.2,16.6,42.5,57.8,19.44,10,172,13.9,72.0,100.0,616,100.0,1.0,28000
82.9,19.0,33.3,53.2,0.74,5,769,20.2,48.7,60.7,1819,68.6,10.5,14153
116.1,17.7,54.3,32.1,19.12,13,479,2.7,72.0,94.7,356,94.6,4.4,19601
172.1,21.8,53.5,33.1,1.18,10,831,6.9,66.7,85.4,1003,90.1,5.9,17901
171.4,31.1,73.9,61.9,1.73,13,204,19.7,72.0,100.0,660,100.0,1.0,28000
127.3,39.7,54.9,34.0,2.66,18,801,11.2,68.3,84.4,1452,90.4,6.3,19625
218.4,28.5,46.2,30.9,12.06,11,1582,10.2,72.0,100.0,2892,100.0,1.0,28000
40.3,37.7,64.0,56.7,1.26,2,677,6.6,62.6,77.4,650,89.8,5.8,17132
178.9,33.4,63.2,47.2,2.57,1,1911,10.6,72.0,100.0,3751,100.0,1.0,28000
157.1,27.7,57.8,60.6,0.25,7,1588,30.5,72.0,100.0,8730,100.0,1.0,28000
73.6,37.2,52.0,26.1,8.92,3,247,11.3,56.8,70.1,390,75.3,8.9,15323
98.7,38.2,55.0,29.5,25.75,13,138,9.2,72.0,100.0,322,100.0,1.0,27807
164.9,4.5,88.1,32.2,1.84,2,502,21.8,60.8,71.5,1375,80.6,6.9,17747
57.9,30.1,72.3,34.0,18.72,9,621,14.9,70.4,93.2,1599,91.4,5.1,21106
155.9,33.3,85.2,60.9,1.7,6,221,18.7,72.0,100.0,736,100.0,1.0,28000
48.7,25.4,63.6,60.0,2.56,4,1108,21.5,64.0,78.3,3263,79.0,7.3,18597
208.2,17.0,75.3,39.0,3.42,2,99,27.6,72.0,100.0,434,100.0,1.4,28000
45.0,34.8,43.7,38.0,7.98,13,2018,26.1,54.7,71.6,6633,75.8,7.1,16104
59.3,19.2,69.8,54.1,5.48,13,1528,20.5,62.1,81.8,4703,85.9,6.6,17665
215.8,20.2,36.1,48.2,3.49,17,977,31.3,72.0,100.0,5513,100.0,1.0,28000
78.4,16.5,75.3,37.4,15.85,2,107,21.5,67.0,78.7,466,91.4,4.2,19752
76.8,40.8,35.2,30.9,11.59,8,382,16.0,60.9,82.6,1051,83.1,5.2,17676
165.5,7.0,58.4,44.3,0.45,10,2142,19.1,60.6,80.4,5857,86.4,7.4,18182
96.4,32.9,70.4,50.7,1.86,4,968,2.6,70.3,85.8,508,93.1,4.1,18968
217.8,22.2,84.6,51.7,7.49,7,828,6.1,72.0,100.0,1038,100.0,1.0,28000
35.0,27.7,75.0,26.9,13.08,17,611,30.9,54.7,64.3,2206,73.7,8.6,16803
192.9,38.5,76.3,28.9,3.35,11,2124,28.5,72.0,100.0,10973,100.0,1.0,28000
88.2,34.4,40.8,46.1,14.59,18,1345,23.5,72.0,99.1,5518,100.0,2.4,24220
169.6,41.3,73.6,60.3,19.59,11,532,24.9,72.0,100.0,2561,100.0,1.0,28000
139.8,37.2,59.0,22.5,1.59,2,291,8.4,58.8,81.5,273,80.7,7.5,16771
88.5,32.4,34.1,54.6,3.49,18,978,24.4,62.9,83.1,3683,90.2,5.0,20053
224.2,18.1,93.2,61.0,2.25,1,1089,8.5,72.0,100.0,1643,100.0,1.0,28000
104.1,25.9,79.3,29.9,5.82,15,786,31.5,62.2,72.0,3302,77.8,5.4,18689
81.8,9.3,86.1,22.2,26.28,2,689,29.9,69.8,87.4,3291,94.7,4.1,22293
143.3,5.8,77.3,43.0,14.82,17,712,14.8,72.0,95.9,1707,98.2,2.2,23834
72.0,32.4,66.0,61.9,27.48,1,529,22.2,72.0,100.0,2159,100.0,1.0,28000
94.0,38.7,92.5,37.4,8.28,17,1595,17.7,72.0,95.5,4771,100.0,2.1,23924
45.6,40.9,81.5,43.3,6.3,7,1797,27.2,68.8,81.3,7304,92.2,4.9,21435
40.5,29.8,33.5,50.7,0.39,6,1091,19.0,44.9,63.2,2261,64.9,10.5,12528
28.6,29.3,66.2,47.7,21.29,2,357,13.1,72.0,94.6,870,100.0,2.2,23733
107.0,35.1,34.0,28.3,3.01,18,1268,30.8,52.7,64.0,4664,75.3,9.4,15732
229.1,24.6,67.5,26.9,2.43,18,408,11.5,72.0,100.0,782,100.0,1.5,26675
59.6,11.6,85.4,29.8,3.22,2,1949,21.5,31.4,49.6,3641,54.9,12.0,11085
101.8,29.2,47.0,33.4,0.85,16,1905,12.2,51.0,68.1,2709,70.8,10.1,13311
61.3,15.2,82.3,50.5,8.11,12,610,22.5,61.2,77.0,1880,86.4,6.3,18175
163.8,6.2,50.0,55.1,5.9,3,368,28.8,72.0,96.2,1960,98.2,4.2,23983
32.9,13.2,89.2,43.6,4.59,13,974,28.8,49.5,64.4,3105,67.1,8.6,13951
27.3,12.3,93.7,61.3,21.32,5,1887,7.2,72.0,100.0,2594,100.0,2.1,25899
33.7,32.7,46.8,32.6,2.71,17,1539,13.9,43.4,60.7,2153,60.4,10.4,10437
161.2,13.7,79.5,45.1,10.86,13,1556,19.8,72.0,100.0,5446,100.0,1.0,27489
200.7,16.5,82.7,57.5,3.54,15,738,9.3,72.0,100.0,1095,100.0,1.0,28000
167.1,19.2,53.1,26.5,13.67,6,1743,3.2,72.0,86.7,734,98.9,2.0,21279
37.0,13.1,43.5,60.3,16.0,1,1221,30.4,65.5,79.4,5293,87.5,4.7,20740
55.7,25.7,81.1,46.9,5.11,11,1917,20.1,59.2,72.4,4874,77.3,6.7,17991
172.1,35.2,70.8,29.1,16.99,18,2121,24.7,72.0,100.0,9590,100.0,1.0,28000
170.9,19.8,58.9,57.0,12.3,16,1621,12.8,72.0,100.0,3869,100.0,1.0,28000
189.7,38.5,37.4,45.9,7.59,1,89,19.6,72.0,100.0,375,100.0,1.0,28000
58.3,28.4,48.2,56.2,10.56,9,1687,24.8,70.9,86.2,6484,91.1,4.7,21649
90.9,16.4,77.2,51.4,18.63,8,1889,25.6,72.0,100.0,8707,100.0,2.3,27711
172.2,5.0,56.9,47.4,23.14,16,1843,5.1,72.0,100.0,1735,100.0,1.0,28000
